featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,2,No reduction,None,fisherLDA,40455,25907,0,4377,0.938124655423458,1.0,0.9023688436830836,0.948679165640719
featureSelectionKsTest,3,No reduction,None,fisherLDA,40455,26130,0,4154,0.9412770890173737,1.0,0.9068797776233496,0.9511661807580175
featureSelectionKsTest,4,No reduction,None,fisherLDA,40455,26184,0,4100,0.9420404585872009,1.0,0.9079789024800808,0.9517703799552993
featureSelectionKsTest,5,No reduction,None,fisherLDA,40455,26271,0,4013,0.9432703317830334,1.0,0.9097553296752721,0.9527454282114386
featureSelectionKsTest,6,No reduction,None,fisherLDA,40455,26610,0,3674,0.9480625963047258,1.0,0.9167440911872011,0.9565638891516126
featureSelectionKsTest,7,No reduction,None,fisherLDA,40455,26610,0,3674,0.9480625963047258,1.0,0.9167440911872011,0.9565638891516126
featureSelectionKsTest,8,No reduction,None,fisherLDA,40455,29600,0,684,0.9903306521155233,1.0,0.9833734412601182,0.9916170306640194
featureSelectionKsTest,9,No reduction,None,fisherLDA,40455,29854,0,430,0.9939213163884137,1.0,0.9894826953650483,0.9947135480698304
featureSelectionKsTest,10,No reduction,None,fisherLDA,39717,30108,738,176,0.9870792632070003,0.9817575083426029,0.9955881984308024,0.988624483496789
featureSelectionKsTest,11,No reduction,None,fisherLDA,39766,30117,689,167,0.9878991786708887,0.9829687306884193,0.9958179951418626,0.9893516445240583
featureSelectionKsTest,12,No reduction,None,fisherLDA,40455,30155,0,129,0.9981763949165241,1.0,0.9968214074512123,0.9984081738422241
featureSelectionKsTest,13,No reduction,None,fisherLDA,40455,30144,0,140,0.9980208937078556,1.0,0.996551299421111,0.998272671190623
featureSelectionKsTest,14,No reduction,None,fisherLDA,40455,30158,0,126,0.9982188043370701,1.0,0.9968950986915058,0.9984451354953354
featureSelectionKsTest,15,No reduction,None,fisherLDA,40455,30155,0,129,0.9981763949165241,1.0,0.9968214074512123,0.9984081738422241
featureSelectionKsTest,16,No reduction,None,fisherLDA,40455,30156,0,128,0.9981905313900394,1.0,0.9968459699874331,0.9984204940891928
featureSelectionKsTest,17,No reduction,None,fisherLDA,40455,30155,0,129,0.9981763949165241,1.0,0.9968214074512123,0.9984081738422241
