featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,1,No reduction,None,eucludeanMinimumDistanceClassifier,40455,26091,0,4193,0.9407257665502764,1.0,0.906087618706325,0.9507302915290883
featureSelectionKsTest,2,No reduction,None,eucludeanMinimumDistanceClassifier,40455,26091,0,4193,0.9407257665502764,1.0,0.906087618706325,0.9507302915290883
featureSelectionKsTest,3,No reduction,None,eucludeanMinimumDistanceClassifier,40455,26091,0,4193,0.9407257665502764,1.0,0.906087618706325,0.9507302915290883
featureSelectionKsTest,4,No reduction,None,eucludeanMinimumDistanceClassifier,40455,26091,0,4193,0.9407257665502764,1.0,0.906087618706325,0.9507302915290883
featureSelectionKsTest,5,No reduction,None,eucludeanMinimumDistanceClassifier,40455,26093,0,4191,0.940754039497307,1.0,0.9061282085741164,0.9507526351041703
featureSelectionKsTest,6,No reduction,None,eucludeanMinimumDistanceClassifier,40455,26093,0,4191,0.940754039497307,1.0,0.9061282085741164,0.9507526351041703
featureSelectionKsTest,7,No reduction,None,eucludeanMinimumDistanceClassifier,40455,26093,0,4191,0.940754039497307,1.0,0.9061282085741164,0.9507526351041703
featureSelectionKsTest,8,No reduction,None,eucludeanMinimumDistanceClassifier,32194,30139,8261,145,0.8811688036302464,0.7957978000247188,0.9955162497294289,0.8845234497348683
featureSelectionKsTest,9,No reduction,None,eucludeanMinimumDistanceClassifier,38468,29821,1987,463,0.9653656398874737,0.9508836979359783,0.988107163956744,0.9691381351875645
featureSelectionKsTest,10,No reduction,None,eucludeanMinimumDistanceClassifier,36432,29891,4023,393,0.9375733329563607,0.9005561735261401,0.9893279022403259,0.9428571428571428
featureSelectionKsTest,11,No reduction,None,eucludeanMinimumDistanceClassifier,36432,29891,4023,393,0.9375733329563607,0.9005561735261401,0.9893279022403259,0.9428571428571428
featureSelectionKsTest,12,No reduction,None,eucludeanMinimumDistanceClassifier,39698,29972,757,312,0.9848881098121263,0.9812878506983067,0.9922019495126219,0.9867147206860125
featureSelectionKsTest,13,No reduction,None,eucludeanMinimumDistanceClassifier,37561,29555,2894,729,0.948783556454007,0.928463725126684,0.9809610864455471,0.9539907295701314
featureSelectionKsTest,14,No reduction,None,eucludeanMinimumDistanceClassifier,39451,29897,1004,387,0.9803361653401942,0.9751823013224571,0.9902856569104874,0.9826759493355585
