featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,1,No reduction,None,KNNClassifier,40455,30033,251,0,0.9964517451476554,0.9938338328501941,1.0,0.9969073816241791
featureSelectionKsTest,2,No reduction,None,KNNClassifier,40455,30033,251,0,0.9964517451476554,0.9938338328501941,1.0,0.9969073816241791
featureSelectionKsTest,3,No reduction,None,KNNClassifier,40435,30265,19,20,0.9994486775329027,0.9995303307460325,0.9995056235323199,0.999517976986491
featureSelectionKsTest,4,No reduction,None,KNNClassifier,40450,30276,8,5,0.9998162258443009,0.9998022640763261,0.9998764058830799,0.9998393336052304
featureSelectionKsTest,5,No reduction,None,KNNClassifier,40452,30279,5,3,0.9998869082118774,0.9998764119929802,0.9999258435298479,0.9999011271504845
featureSelectionKsTest,6,No reduction,None,KNNClassifier,40453,30276,8,2,0.9998586352648469,0.9998022787375498,0.999950562353232,0.9998764150477037
featureSelectionKsTest,7,No reduction,None,KNNClassifier,40453,30277,7,2,0.9998727717383622,0.9998269896193772,0.999950562353232,0.9998887721683248
featureSelectionKsTest,8,No reduction,None,KNNClassifier,40453,30278,6,2,0.9998869082118774,0.9998517017227316,0.999950562353232,0.9999011295943842
featureSelectionKsTest,9,No reduction,None,KNNClassifier,40454,30277,7,1,0.9998869082118774,0.999826993895356,0.9999752811766159,0.999901132038163
featureSelectionKsTest,10,No reduction,None,KNNClassifier,40453,30276,8,2,0.9998586352648469,0.9998022787375498,0.999950562353232,0.9998764150477037
featureSelectionKsTest,11,No reduction,None,KNNClassifier,40451,30276,8,4,0.9998303623178162,0.9998022689636422,0.999901124706464,0.9998516943915763
featureSelectionKsTest,12,No reduction,None,KNNClassifier,40455,30281,3,0,0.9999575905794541,0.9999258490286222,1.0,0.9999629231396685
featureSelectionKsTest,13,No reduction,None,KNNClassifier,40455,30281,3,0,0.9999575905794541,0.9999258490286222,1.0,0.9999629231396685
featureSelectionKsTest,14,No reduction,None,KNNClassifier,40455,30277,7,0,0.9999010446853928,0.9998269981711235,1.0,0.9999134916025063
featureSelectionKsTest,15,No reduction,None,KNNClassifier,40455,30274,10,0,0.9998586352648469,0.9997528728530829,1.0,0.999876421156698
featureSelectionKsTest,16,No reduction,None,KNNClassifier,40455,30273,11,0,0.9998444987913315,0.9997281668561261,1.0,0.9998640649522373
featureSelectionKsTest,17,No reduction,None,KNNClassifier,40455,30273,11,0,0.9998444987913315,0.9997281668561261,1.0,0.9998640649522373
featureSelectionKsTest,18,No reduction,None,KNNClassifier,40455,30273,11,0,0.9998444987913315,0.9997281668561261,1.0,0.9998640649522373
featureSelectionKsTest,19,No reduction,None,KNNClassifier,40452,30263,21,3,0.9996607246356324,0.9994811355718627,0.9999258435298479,0.9997034400948992
featureSelectionKsTest,20,No reduction,None,KNNClassifier,40452,30264,20,3,0.9996748611091477,0.9995058311919351,0.9999258435298479,0.9997157932457647
featureSelectionKsTest,21,No reduction,None,KNNClassifier,40451,30264,20,4,0.9996607246356324,0.9995058189814929,0.999901124706464,0.9997034327657366
featureSelectionKsTest,22,No reduction,None,KNNClassifier,40451,30264,20,4,0.9996607246356324,0.9995058189814929,0.999901124706464,0.9997034327657366
featureSelectionKsTest,23,No reduction,None,KNNClassifier,40451,30261,23,4,0.9996183152150865,0.9994317339526609,0.999901124706464,0.9996663742292626
featureSelectionKsTest,24,No reduction,None,KNNClassifier,40451,30250,34,4,0.999462814006418,0.9991601827837471,0.999901124706464,0.9995305164319249
featureSelectionKsTest,25,No reduction,None,KNNClassifier,40452,30246,38,3,0.999420404585872,0.9990614966658434,0.9999258435298479,0.9994934832293533
featureSelectionKsTest,26,No reduction,None,KNNClassifier,40445,30251,33,10,0.9993921316388413,0.9991847423291664,0.9997528117661599,0.9994686963290623
featureSelectionKsTest,27,No reduction,None,KNNClassifier,40443,30249,35,12,0.9993355857447801,0.9991353327733584,0.9997033741193919,0.9994192727317658
featureSelectionKsTest,28,No reduction,None,KNNClassifier,40443,30249,35,12,0.9993355857447801,0.9991353327733584,0.9997033741193919,0.9994192727317658
featureSelectionKsTest,29,No reduction,None,KNNClassifier,40443,30249,35,12,0.9993355857447801,0.9991353327733584,0.9997033741193919,0.9994192727317658
featureSelectionKsTest,30,No reduction,None,KNNClassifier,40445,30236,48,10,0.9991800845361116,0.998814609932581,0.9997528117661599,0.9992834906359638
featureSelectionKsTest,31,No reduction,None,KNNClassifier,40443,30234,50,12,0.9991235386420504,0.9987652186797719,0.9997033741193919,0.9992340761970648
featureSelectionKsTest,32,No reduction,None,KNNClassifier,40437,30217,67,18,0.9987983997511981,0.9983458423859372,0.9995550611790879,0.998950085845922
featureSelectionKsTest,33,No reduction,None,KNNClassifier,40438,30218,66,17,0.9988266726982287,0.9983705313055501,0.9995797800024718,0.998974789708371
featureSelectionKsTest,34,No reduction,None,KNNClassifier,40425,30178,106,30,0.9980774396019169,0.9973847178702722,0.9992584352984798,0.9983206974044897
featureSelectionKsTest,35,No reduction,None,KNNClassifier,40425,30178,106,30,0.9980774396019169,0.9973847178702722,0.9992584352984798,0.9983206974044897
featureSelectionKsTest,36,No reduction,None,KNNClassifier,40401,30147,137,54,0.9972999335585745,0.9966204548818393,0.9986651835372636,0.9976417715111182
featureSelectionKsTest,37,No reduction,None,KNNClassifier,40401,30147,137,54,0.9972999335585745,0.9966204548818393,0.9986651835372636,0.9976417715111182
featureSelectionKsTest,38,No reduction,None,KNNClassifier,40401,30147,137,54,0.9972999335585745,0.9966204548818393,0.9986651835372636,0.9976417715111182
featureSelectionKsTest,39,No reduction,None,KNNClassifier,40398,30147,137,57,0.9972575241380285,0.9966202047613174,0.9985910270671116,0.9976046425484628
featureSelectionKsTest,40,No reduction,None,KNNClassifier,40387,30152,132,68,0.9971727052969366,0.99674226905896,0.9983191200098875,0.9975300713809371
featureSelectionKsTest,41,No reduction,None,KNNClassifier,40385,30152,132,70,0.997144432349906,0.9967421082508576,0.9982696823631195,0.997505310477696
featureSelectionKsTest,42,No reduction,None,KNNClassifier,40386,30150,134,69,0.9971302958763907,0.9966929911154985,0.9982944011865035,0.9974930534115468
featureSelectionKsTest,43,No reduction,None,KNNClassifier,40386,30150,134,69,0.9971302958763907,0.9966929911154985,0.9982944011865035,0.9974930534115468
featureSelectionKsTest,44,No reduction,None,KNNClassifier,40386,30150,134,69,0.9971302958763907,0.9966929911154985,0.9982944011865035,0.9974930534115468
featureSelectionKsTest,45,No reduction,None,KNNClassifier,40387,30149,135,68,0.9971302958763907,0.9966684763831992,0.9983191200098875,0.9974931153290441
