seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40305,29965,319,150,0.9933699939213164,0.9921474990153604,0.996292176492399,0.9942155181983005
1,40310,29968,316,145,0.9934830857094389,0.9922217299266479,0.996415770609319,0.994314327647661
2,40330,29971,313,125,0.9938082246002912,0.9922987968407844,0.9969101470769991,0.9945991269821697
3,40332,29973,311,123,0.9938647704943525,0.9923480058066579,0.9969595847237671,0.9946484500234285
4,40325,30003,281,130,0.9941899093852048,0.9930798404176723,0.9967865529600791,0.9949297442666634
5,40320,30011,273,135,0.9942323188057507,0.9932747025349198,0.996662958843159,0.9949659461060113
6,40321,29967,317,134,0.9936244504445921,0.992199419262759,0.9966876776665431,0.9944384842094879
7,40314,30003,281,141,0.9940344081765363,0.9930779652666585,0.996514645902855,0.9947933374460209
8,40326,29980,304,129,0.9938789069678678,0.9925178439576667,0.9968112717834631,0.9946599247703027
9,40305,29969,315,150,0.9934265398153777,0.992245199409158,0.996292176492399,0.9942645698427383
10,40330,30013,271,125,0.9944019564879345,0.9933252875544938,0.9969101470769991,0.9951144887485195
11,40326,29983,301,129,0.9939213163884137,0.9925911339749428,0.9968112717834631,0.99469672677043
12,40321,29981,303,134,0.9938223610738065,0.9925413548641198,0.9966876776665431,0.9946101949950049
13,40313,29941,343,142,0.9931438103450713,0.9915633608815427,0.996489927079471,0.994020539754164
14,40325,29996,288,130,0.9940909540705976,0.9929086745623322,0.9967865529600791,0.9948438348053485
15,40319,29982,302,136,0.9938082246002912,0.992565421826149,0.9966382400197751,0.9945976614534511
16,40309,29967,317,146,0.9934548127624083,0.9921971151479348,0.996391051785935,0.9942896609563276
17,40307,29996,288,148,0.9938364975473218,0.992905530237714,0.996341614139167,0.9946206045650833
18,40310,30012,272,145,0.9941050905441129,0.993297521068454,0.996415770609319,0.9948542024013722
19,40306,30005,279,149,0.9939495893354444,0.9931255389922385,0.9963168953157829,0.9947186574531096
20,40333,29959,325,122,0.9936809963386534,0.9920064931870727,0.9969843035471512,0.994489169430301
21,40307,29946,338,148,0.993129673871556,0.9916840939845,0.996341614139167,0.9940073982737361
22,40312,29975,309,143,0.9936103139710768,0.9923930971664903,0.996465208256087,0.9944249839656618
23,40339,29966,318,116,0.9938647704943525,0.9921784686523846,0.9971326164874552,0.9946493737054937
24,40324,29965,319,131,0.9936385869181074,0.9921511699431637,0.9967618341366951,0.9944511578583936
25,40312,29977,307,143,0.9936385869181074,0.992441960658805,0.996465208256087,0.9944495152576658
26,40326,30024,260,129,0.9945009118025417,0.9935938500960922,0.9968112717834631,0.995199960513814
27,40337,29970,314,118,0.9938930434413831,0.9922757127745935,0.9970831788406872,0.9946736369689049
28,40313,30008,276,142,0.9940909540705976,0.9932001281135283,0.996489927079471,0.9948423078821381
29,40314,29975,309,141,0.9936385869181074,0.9923934716786057,0.996514645902855,0.9944497890919854
