combination,TP,TN,FP,FN,accuracy,precision,recall,fScore
1,40390.63333333333,30138.533333333333,145.46666666666667,64.36666666666666,0.9970336966407027,0.996411500562456,0.9984089317348493,0.9974091916816143
2,40385.53333333333,30102.2,181.8,69.46666666666667,0.9964479754213846,0.9955186538568623,0.9982828657355909,0.9968988068777944
3,40376.36666666667,30086.8,197.2,78.63333333333334,0.9961006893886918,0.9951398404120305,0.9980562765212374,0.996595874230744
4,40367.5,30075.566666666666,208.43333333333334,87.5,0.9958165462710339,0.9948633344181838,0.9978371029538994,0.9963479323068191
5,40365.2,30063.333333333332,220.66666666666666,89.8,0.995611096189278,0.9945632336421493,0.9977802496601164,0.9961690621415745
6,40363.7,30051.933333333334,232.06666666666666,91.3,0.9954287356809302,0.994283722197323,0.9977431714250401,0.9960103671409989
7,40363.46666666667,30041.133333333335,242.86666666666667,91.53333333333333,0.995272763256478,0.9940191835452298,0.9977374036995836,0.9958747660618541
8,40359.1,30029.266666666666,254.73333333333332,95.9,0.9950432811697459,0.9937281443431698,0.9976294648374736,0.9956749131753164
9,40353.066666666666,30018.966666666667,265.03333333333336,101.93333333333334,0.9948123854356626,0.9934752208591943,0.9974803279363902,0.9954736801321675
10,40346.333333333336,30009.2,274.8,108.66666666666667,0.9945791336226598,0.9932352380769692,0.9973138878589379,0.9952703206916488
11,40339.2,30000.133333333335,283.8666666666667,115.8,0.9943501227517118,0.9930123825412289,0.997137560252132,0.9950706305394112
12,40330.8,29992.766666666666,291.23333333333335,124.2,0.9941272376859537,0.9928309006617336,0.9969299221357063,0.9948761069239903
13,40324.96666666667,29984.7,299.3,130.03333333333333,0.9939307407040907,0.9926327085094669,0.9967857289992996,0.9947048083626959
14,40319.03333333333,29981.7,302.3,135.96666666666667,0.9938044548740202,0.9925583462601147,0.9966390639805546,0.9945944431447896
15,40313.9,29975.366666666665,308.6333333333333,141.1,0.9936423566443779,0.9924026355277119,0.9965121740205165,0.9944530925449758
16,40312.03333333333,29969.666666666668,314.3333333333333,142.96666666666667,0.9935353906614457,0.9922630895537714,0.9964660322168666,0.9943600336019521
17,40312.46666666667,29967.766666666666,316.23333333333335,142.53333333333333,0.9935146571669565,0.9922167814415853,0.9964767437069995,0.994342104540666
18,40311.666666666664,29965.333333333332,318.6666666666667,143.33333333333334,0.9934689492359237,0.9921571868579261,0.9964569686482923,0.9943023413391207
19,40310.76666666667,29961.666666666668,322.3333333333333,144.23333333333332,0.9934043926735369,0.9920674629726549,0.9964347217072466,0.9942462175682025
20,40309.066666666666,29957.8,326.2,145.93333333333334,0.9933256996376352,0.9919727471866032,0.9963926997074941,0.9941777288894776
