seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40322,29993,291,133,0.9940061352295056,0.9928348065890232,0.996712396489927,0.9947698228647555
1,40335,29978,306,120,0.993977862282475,0.9924706577101942,0.9970337411939192,0.9947469665581533
2,40341,29991,293,114,0.994246455279266,0.992789289757346,0.9971820541342232,0.9949808235395676
3,40349,29992,292,106,0.9943736835409039,0.9928151374227996,0.9973798047212953,0.9950922363618427
4,40359,30024,260,96,0.9949674154285472,0.9935990546296068,0.9976269929551353,0.9956089498482867
5,40345,30030,254,110,0.9948543236404247,0.9937436882681839,0.9972809294277593,0.995509166728354
6,40344,29978,306,111,0.9941050905441129,0.9924723247232472,0.9972562106043752,0.9948585167375624
7,40346,30025,259,109,0.9947977777463634,0.9936214751877848,0.9973056482511432,0.9954601529731063
8,40342,30004,280,113,0.9944443659084805,0.9931071832996898,0.9972067729576072,0.9951527560220531
9,40332,29997,287,123,0.9942040458587201,0.9929343410719121,0.9969595847237671,0.9949428916792067
10,40347,30026,258,108,0.994826050693394,0.9936461026967123,0.9973303670745273,0.9954848260547743
11,40343,30001,283,112,0.9944160929614498,0.9930340176241815,0.9972314917809912,0.9951283284616618
12,40345,30006,278,110,0.9945150482760571,0.993156586170396,0.9972809294277593,0.9952144848170897
13,40341,29966,318,114,0.9938930434413831,0.9921788533903932,0.9971820541342232,0.9946741622901102
14,40341,30005,279,114,0.9944443659084805,0.9931314623338257,0.9971820541342232,0.9951526364477336
15,40333,30000,284,122,0.9942605917527814,0.9930078538542975,0.9969843035471512,0.9949921057825143
16,40321,29985,299,134,0.9938789069678678,0.9926390940423436,0.9966876776665431,0.994659266111625
17,40332,30010,274,123,0.9943878200144192,0.9932522287346698,0.9969595847237671,0.9951024537077016
18,40331,30016,268,124,0.9944585023819957,0.9933988521884776,0.9969348659003832,0.9951637180151504
19,40311,30024,260,144,0.994288864699812,0.9935914816001578,0.996440489432703,0.9950139461407449
20,40351,29975,309,104,0.9941616364381741,0.9924003935071323,0.9974292423680633,0.9949084632928559
21,40323,29966,318,132,0.9936385869181074,0.9921753893851037,0.9967371153133111,0.9944510210121338
22,40343,29994,290,112,0.9943171376468426,0.9928629439125833,0.9972314917809912,0.9950424230465666
23,40363,29993,291,92,0.9945857306436336,0.9928420327643036,0.9977258682486714,0.9952779592893514
24,40336,29984,300,119,0.9940768175970822,0.9926173836007481,0.9970584600173031,0.9948329654338952
25,40333,29995,289,122,0.9941899093852048,0.9928856284771799,0.9969843035471512,0.9949307448474907
26,40335,30041,243,120,0.9948684601139399,0.9940115333431909,0.9970337411939192,0.9955203435637333
27,40343,29988,296,112,0.9942323188057507,0.9927163562095525,0.9972314917809912,0.9949688016376057
28,40355,30023,261,100,0.9948967330609706,0.9935739610005909,0.9975281176615993,0.995547113024386
29,40334,29994,290,121,0.9941899093852048,0.9928613627412367,0.9970090223705351,0.9949308698923273
