featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,1,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,1,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,2,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,2,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,3,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,3,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,4,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,4,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,5,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,5,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,6,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,6,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,7,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,7,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,8,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,8,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,9,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,9,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,10,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,10,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,11,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,11,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,12,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,12,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,13,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,13,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,14,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,14,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
