featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,1,No reduction,None,svmClassifier,40455,29782,502,0,0.9929034902953109,0.9877432429132993,1.0,0.9938338328501941
featureSelectionKsTest,2,No reduction,None,svmClassifier,40455,29782,502,0,0.9929034902953109,0.9877432429132993,1.0,0.9938338328501941
featureSelectionKsTest,3,No reduction,None,svmClassifier,40455,29782,502,0,0.9929034902953109,0.9877432429132993,1.0,0.9938338328501941
featureSelectionKsTest,4,No reduction,None,svmClassifier,40455,29782,502,0,0.9929034902953109,0.9877432429132993,1.0,0.9938338328501941
featureSelectionKsTest,5,No reduction,None,svmClassifier,40455,29782,502,0,0.9929034902953109,0.9877432429132993,1.0,0.9938338328501941
featureSelectionKsTest,6,No reduction,None,svmClassifier,40455,29782,502,0,0.9929034902953109,0.9877432429132993,1.0,0.9938338328501941
featureSelectionKsTest,7,No reduction,None,svmClassifier,40455,29782,502,0,0.9929034902953109,0.9877432429132993,1.0,0.9938338328501941
featureSelectionKsTest,8,No reduction,None,svmClassifier,40455,29781,503,0,0.9928893538217957,0.9877191269104937,1.0,0.9938216255389188
featureSelectionKsTest,9,No reduction,None,svmClassifier,40455,29782,502,0,0.9929034902953109,0.9877432429132993,1.0,0.9938338328501941
featureSelectionKsTest,10,No reduction,None,svmClassifier,39698,30187,97,757,0.9879274516179194,0.9975625078527454,0.9812878506983067,0.9893582554517134
featureSelectionKsTest,11,No reduction,None,svmClassifier,39698,30187,97,757,0.9879274516179194,0.9975625078527454,0.9812878506983067,0.9893582554517134
featureSelectionKsTest,12,No reduction,None,svmClassifier,40455,30214,70,0,0.9990104468539278,0.998272671190623,1.0,0.9991355890343294
featureSelectionKsTest,13,No reduction,None,svmClassifier,40455,30232,52,0,0.9992649033772035,0.9987162712617572,1.0,0.9993577233763988
featureSelectionKsTest,14,No reduction,None,svmClassifier,40455,30243,41,0,0.999420404585872,0.9989875543263532,1.0,0.999493520771825
featureSelectionKsTest,15,No reduction,None,svmClassifier,40455,30235,49,0,0.9993073127977494,0.998790242938969,1.0,0.9993947553700021
featureSelectionKsTest,16,No reduction,None,svmClassifier,40455,30235,49,0,0.9993073127977494,0.998790242938969,1.0,0.9993947553700021
featureSelectionKsTest,17,No reduction,None,svmClassifier,40455,30235,49,0,0.9993073127977494,0.998790242938969,1.0,0.9993947553700021
featureSelectionKsTest,18,No reduction,None,svmClassifier,40455,30236,48,0,0.9993214492712648,0.9988149025998074,1.0,0.9994070999777662
featureSelectionKsTest,19,No reduction,None,svmClassifier,40455,30236,48,0,0.9993214492712648,0.9988149025998074,1.0,0.9994070999777662
featureSelectionKsTest,20,No reduction,None,svmClassifier,40455,30237,47,0,0.9993355857447801,0.9988395634783468,1.0,0.9994194448904974
featureSelectionKsTest,21,No reduction,None,svmClassifier,40455,30237,47,0,0.9993355857447801,0.9988395634783468,1.0,0.9994194448904974
featureSelectionKsTest,22,No reduction,None,svmClassifier,40455,30237,47,0,0.9993355857447801,0.9988395634783468,1.0,0.9994194448904974
featureSelectionKsTest,23,No reduction,None,svmClassifier,40455,30237,47,0,0.9993355857447801,0.9988395634783468,1.0,0.9994194448904974
featureSelectionKsTest,24,No reduction,None,svmClassifier,40455,30232,52,0,0.9992649033772035,0.9987162712617572,1.0,0.9993577233763988
featureSelectionKsTest,25,No reduction,None,svmClassifier,40455,30231,53,0,0.9992507669036882,0.9986916164708206,1.0,0.9993453799883898
featureSelectionKsTest,26,No reduction,None,svmClassifier,40455,30238,46,0,0.9993497222182954,0.9988642255746771,1.0,0.9994317901082069
featureSelectionKsTest,27,No reduction,None,svmClassifier,40455,30237,47,0,0.9993355857447801,0.9988395634783468,1.0,0.9994194448904974
featureSelectionKsTest,28,No reduction,None,svmClassifier,40455,30237,47,0,0.9993355857447801,0.9988395634783468,1.0,0.9994194448904974
featureSelectionKsTest,29,No reduction,None,svmClassifier,40455,30237,47,0,0.9993355857447801,0.9988395634783468,1.0,0.9994194448904974
featureSelectionKsTest,30,No reduction,None,svmClassifier,40455,30238,46,0,0.9993497222182954,0.9988642255746771,1.0,0.9994317901082069
featureSelectionKsTest,31,No reduction,None,svmClassifier,40455,30244,40,0,0.9994345410593873,0.9990122237313248,1.0,0.9995058678196418
featureSelectionKsTest,32,No reduction,None,svmClassifier,40455,30245,39,0,0.9994486775329027,0.9990368943547192,1.0,0.999518215172516
featureSelectionKsTest,33,No reduction,None,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,34,No reduction,None,svmClassifier,40455,30243,41,0,0.999420404585872,0.9989875543263532,1.0,0.999493520771825
featureSelectionKsTest,35,No reduction,None,svmClassifier,40455,30243,41,0,0.999420404585872,0.9989875543263532,1.0,0.999493520771825
featureSelectionKsTest,36,No reduction,None,svmClassifier,40455,30245,39,0,0.9994486775329027,0.9990368943547192,1.0,0.999518215172516
featureSelectionKsTest,37,No reduction,None,svmClassifier,40455,30245,39,0,0.9994486775329027,0.9990368943547192,1.0,0.999518215172516
featureSelectionKsTest,38,No reduction,None,svmClassifier,40455,30245,39,0,0.9994486775329027,0.9990368943547192,1.0,0.999518215172516
featureSelectionKsTest,39,No reduction,None,svmClassifier,40455,30245,39,0,0.9994486775329027,0.9990368943547192,1.0,0.999518215172516
featureSelectionKsTest,40,No reduction,None,svmClassifier,40455,30246,38,0,0.999462814006418,0.9990615661966266,1.0,0.999530562830459
featureSelectionKsTest,41,No reduction,None,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,42,No reduction,None,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,43,No reduction,None,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,44,No reduction,None,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,45,No reduction,None,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,46,No reduction,None,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,47,No reduction,None,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,48,No reduction,None,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,49,No reduction,None,svmClassifier,40455,30243,41,0,0.999420404585872,0.9989875543263532,1.0,0.999493520771825
featureSelectionKsTest,50,No reduction,None,svmClassifier,40455,30248,36,0,0.9994910869534486,0.9991109135363414,1.0,0.9995552590615966
