seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40445,30092,192,10,0.997144432349906,0.9952752417747374,0.9997528117661599,0.9975090021210476
1,40448,30108,176,7,0.997413025346697,0.9956675856636471,0.9998269682363119,0.9977429420688464
2,40441,30099,185,14,0.9971868417704519,0.9954462659380692,0.9996539364726239,0.9975456642123309
3,40449,30091,193,6,0.9971868417704519,0.9952512179518724,0.999851687059696,0.997546148439523
4,40444,30125,159,11,0.9975967995023961,0.9960840331995173,0.9997280929427759,0.9979027363122702
5,40448,30118,166,7,0.9975543900818502,0.9959127394494509,0.9998269682363119,0.9978660153696234
6,40445,30077,207,10,0.9969323852471762,0.9949079996064154,0.9997528117661599,0.9973245219278237
7,40440,30122,162,15,0.9974978441877889,0.9960100487660707,0.9996292176492398,0.9978163514563826
8,40446,30106,178,9,0.9973564794526357,0.9956183536825521,0.9997775305895439,0.9976936074692584
9,40444,30081,203,11,0.9969747946677222,0.9950057814844884,0.9997280929427759,0.9973613474390274
10,40445,30113,171,10,0.9974412982937276,0.9957898365176285,0.9997528117661599,0.9977673890787088
11,40447,30103,181,8,0.9973282065056052,0.9955449443733386,0.999802249412928,0.9976690551656944
12,40446,30097,187,9,0.9972292511909979,0.9953978293505279,0.9997775305895439,0.9975828729281768
13,40443,30089,195,12,0.9970737499823294,0.9952015355086372,0.9997033741193919,0.9974473752358404
14,40448,30117,167,7,0.9975402536083349,0.9958882186384341,0.9998269682363119,0.9978537066732454
15,40446,30109,175,9,0.9973988888731817,0.9956918835085301,0.9997775305895439,0.9977305244461986
16,40445,30102,182,10,0.9972857970850592,0.9955202205429886,0.9997528117661599,0.9976320268370292
17,40445,30105,179,10,0.9973282065056052,0.9955937376920048,0.9997528117661599,0.9976689401694644
18,40443,30129,155,12,0.9976392089229421,0.9961820779348737,0.9997033741193919,0.9979396197549751
19,40446,30111,173,9,0.9974271618202123,0.995740909426623,0.9997775305895439,0.9977551372819893
20,40445,30084,200,10,0.9970313405617834,0.9950793455529585,0.9997528117661599,0.9974106041923552
21,40444,30083,201,11,0.9970030676147528,0.9950547422807233,0.9997280929427759,0.9973859432799014
22,40447,30082,202,8,0.9970313405617834,0.9950306280597309,0.999802249412928,0.997410731899783
23,40445,30112,172,10,0.9974271618202123,0.9957653199399267,0.9997528117661599,0.9977550819025064
24,40445,30099,185,10,0.9972433876645133,0.9954467142505538,0.9997528117661599,0.9975951162360486
25,40442,30102,182,13,0.9972433876645133,0.9955198897203623,0.9996786552960079,0.9975949382700823
26,40442,30130,154,13,0.9976392089229421,0.9962065228101291,0.9996786552960079,0.9979395689134002
27,40448,30100,184,7,0.9972999335585745,0.9954715495176216,0.9998269682363119,0.9976445052844476
28,40445,30115,169,10,0.9974695712407583,0.9958388732949229,0.9997528117661599,0.9977920043419803
29,40442,30120,164,13,0.9974978441877889,0.9959611880017731,0.9996786552960079,0.9978164592097309
