seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
1,20,10,0,0,1.0,1.0,1.0,1.0
2,20,10,0,0,1.0,1.0,1.0,1.0
3,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
4,20,10,0,0,1.0,1.0,1.0,1.0
5,20,10,0,0,1.0,1.0,1.0,1.0
6,20,10,0,0,1.0,1.0,1.0,1.0
7,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
8,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
9,20,10,0,0,1.0,1.0,1.0,1.0
10,20,10,0,0,1.0,1.0,1.0,1.0
11,20,10,0,0,1.0,1.0,1.0,1.0
12,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
13,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
14,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
15,20,10,0,0,1.0,1.0,1.0,1.0
16,20,10,0,0,1.0,1.0,1.0,1.0
17,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
18,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
19,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
20,20,10,0,0,1.0,1.0,1.0,1.0
21,20,10,0,0,1.0,1.0,1.0,1.0
22,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
23,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
24,20,10,0,0,1.0,1.0,1.0,1.0
25,20,10,0,0,1.0,1.0,1.0,1.0
26,20,8,2,0,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523
27,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
28,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
29,20,9,1,0,0.9666666666666667,0.9523809523809523,1.0,0.975609756097561
