featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30215,0,69,0.9990245833274431,1.0,0.9982973053005626,0.9991479272403957
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30213,0,71,0.9989963103804125,1.0,0.9982480382964023,0.9991232511329818
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30211,0,73,0.9989680374333819,1.0,0.9981987761547572,0.999098576244397
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30204,0,80,0.9988690821187747,1.0,0.9980263969409152,0.9990122237313248
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30209,0,75,0.9989397644863512,1.0,0.9981495188749074,0.9990739025745509
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30217,0,67,0.9990528562744738,1.0,0.9983465771679582,0.9991726045667289
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30204,0,80,0.9988690821187747,1.0,0.9980263969409152,0.9990122237313248
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30214,0,70,0.9990104468539278,1.0,0.998272671190623,0.9991355890343294
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30209,0,75,0.9989397644863512,1.0,0.9981495188749074,0.9990739025745509
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30205,0,79,0.99888321859229,1.0,0.9980510188977155,0.9990245588907135
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30215,0,69,0.9990245833274431,1.0,0.9982973053005626,0.9991479272403957
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30205,0,79,0.99888321859229,1.0,0.9980510188977155,0.9990245588907135
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30212,0,72,0.9989821739068971,1.0,0.9982234066178104,0.9991109135363414
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30203,0,81,0.9988549456452593,1.0,0.9980017761989343,0.9989998888765418
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30221,0,63,0.999109402168535,1.0,0.9984451354953354,0.9992219628765144
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30208,0,76,0.9989256280128359,1.0,0.998124892057931,0.9990615661966266
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30203,0,81,0.9988549456452593,1.0,0.9980017761989343,0.9989998888765418
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30212,0,72,0.9989821739068971,1.0,0.9982234066178104,0.9991109135363414
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30218,0,66,0.999066992747989,1.0,0.9983712149255941,0.9991849436870184
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30204,0,80,0.9988690821187747,1.0,0.9980263969409152,0.9990122237313248
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30211,0,73,0.9989680374333819,1.0,0.9981987761547572,0.999098576244397
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30203,0,81,0.9988549456452593,1.0,0.9980017761989343,0.9989998888765418
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30211,0,73,0.9989680374333819,1.0,0.9981987761547572,0.999098576244397
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30226,0,58,0.9991800845361116,1.0,0.9985683607730852,0.9992836676217765
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30208,0,76,0.9989256280128359,1.0,0.998124892057931,0.9990615661966266
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30205,0,79,0.99888321859229,1.0,0.9980510188977155,0.9990245588907135
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30215,0,69,0.9990245833274431,1.0,0.9982973053005626,0.9991479272403957
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30206,0,78,0.9988973550658052,1.0,0.9980756420694249,0.9990368943547192
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30217,0,67,0.9990528562744738,1.0,0.9983465771679582,0.9991726045667289
featureSelectionKsTest,50,featureReductionLDA,1,fisherLDA,40455,30199,0,85,0.9987983997511981,1.0,0.997903305377405,0.9989505525032409
