featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30158,0,126,0.9982188043370701,1.0,0.9968950986915058,0.9984451354953354
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30163,0,121,0.9982894867046467,1.0,0.9970179416403786,0.998506744332416
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30152,0,132,0.9981339854959782,1.0,0.996747727104738,0.9983712149255941
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30151,0,133,0.9981198490224629,1.0,0.9967231694096778,0.9983588958947719
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30169,0,115,0.9983743055457386,1.0,0.9971653931476461,0.9985806849737735
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30169,0,115,0.9983743055457386,1.0,0.9971653931476461,0.9985806849737735
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30154,0,130,0.9981622584430088,1.0,0.9967968461254157,0.998395853899309
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30156,0,128,0.9981905313900394,1.0,0.9968459699874331,0.9984204940891928
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30172,0,112,0.9984167149662845,1.0,0.9972391352577218,0.9986176594011503
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30162,0,122,0.9982753502311313,1.0,0.9969933706286813,0.9984944219567579
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30156,0,128,0.9981905313900394,1.0,0.9968459699874331,0.9984204940891928
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30155,0,129,0.9981763949165241,1.0,0.9968214074512123,0.9984081738422241
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30160,0,124,0.9982470772841007,1.0,0.9969442322383499,0.9984697781178271
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30157,0,127,0.9982046678635548,1.0,0.9968705337341679,0.998432814640226
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30162,0,122,0.9982753502311313,1.0,0.9969933706286813,0.9984944219567579
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30148,0,136,0.9980774396019169,1.0,0.9966495035845384,0.998321940626311
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30158,0,126,0.9982188043370701,1.0,0.9968950986915058,0.9984451354953354
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30162,0,122,0.9982753502311313,1.0,0.9969933706286813,0.9984944219567579
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30173,0,111,0.9984308514397998,1.0,0.9972637183848543,0.9986299848187506
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30145,0,139,0.998035030181371,1.0,0.9965758486475834,0.9982849880936224
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30150,0,134,0.9981057125489475,1.0,0.996698612924684,0.9983465771679582
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30158,0,126,0.9982188043370701,1.0,0.9968950986915058,0.9984451354953354
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30156,0,128,0.9981905313900394,1.0,0.9968459699874331,0.9984204940891928
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30172,0,112,0.9984167149662845,1.0,0.9972391352577218,0.9986176594011503
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30145,0,139,0.998035030181371,1.0,0.9965758486475834,0.9982849880936224
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30161,0,123,0.998261213757616,1.0,0.9969688008280349,0.998482099885232
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30166,0,118,0.9983318961251926,1.0,0.9970916619426712,0.9985437132842968
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30159,0,125,0.9982329408105854,1.0,0.9969196648595368,0.998457456654532
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30169,0,115,0.9983743055457386,1.0,0.9971653931476461,0.9985806849737735
featureSelectionKsTest,12,featureReductionLDA,1,eucludeanMinimumDistanceClassifier,40455,30160,0,124,0.9982470772841007,1.0,0.9969442322383499,0.9984697781178271
