featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30282,2,0,0.9999717270529693,0.9999505647971921,1.0,0.9999752817876211
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40453,30283,1,2,0.9999575905794541,0.9999752805655806,0.999950562353232,0.9999629213066532
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40451,30283,1,4,0.9999293176324234,0.9999752793434193,0.999901124706464,0.9999382006501292
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30283,1,0,0.9999858635264847,0.9999752817876211,1.0,0.9999876407410612
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30283,1,0,0.9999858635264847,0.9999752817876211,1.0,0.9999876407410612
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30282,2,0,0.9999717270529693,0.9999505647971921,1.0,0.9999752817876211
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30283,1,0,0.9999858635264847,0.9999752817876211,1.0,0.9999876407410612
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30284,0,0,1.0,1.0,1.0,1.0
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30282,2,0,0.9999717270529693,0.9999505647971921,1.0,0.9999752817876211
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30283,1,0,0.9999858635264847,0.9999752817876211,1.0,0.9999876407410612
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30284,0,0,1.0,1.0,1.0,1.0
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40454,30284,0,1,0.9999858635264847,1.0,0.9999752811766159,0.9999876404355511
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30283,1,0,0.9999858635264847,0.9999752817876211,1.0,0.9999876407410612
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40454,30284,0,1,0.9999858635264847,1.0,0.9999752811766159,0.9999876404355511
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30281,3,0,0.9999575905794541,0.9999258490286222,1.0,0.9999629231396685
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40454,30284,0,1,0.9999858635264847,1.0,0.9999752811766159,0.9999876404355511
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40454,30282,2,1,0.9999575905794541,0.9999505635752423,0.9999752811766159,0.9999629222231835
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30283,1,0,0.9999858635264847,0.9999752817876211,1.0,0.9999876407410612
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40453,30284,0,2,0.9999717270529693,1.0,0.999950562353232,0.9999752805655806
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40452,30284,0,3,0.9999575905794541,1.0,0.9999258435298479,0.9999629203900775
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40453,30283,1,2,0.9999575905794541,0.9999752805655806,0.999950562353232,0.9999629213066532
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30283,1,0,0.9999858635264847,0.9999752817876211,1.0,0.9999876407410612
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40453,30284,0,2,0.9999717270529693,1.0,0.999950562353232,0.9999752805655806
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30284,0,0,1.0,1.0,1.0,1.0
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30284,0,0,1.0,1.0,1.0,1.0
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30282,2,0,0.9999717270529693,0.9999505647971921,1.0,0.9999752817876211
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30284,0,0,1.0,1.0,1.0,1.0
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40454,30283,1,1,0.9999717270529693,0.9999752811766159,0.9999752811766159,0.9999752811766159
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30282,2,0,0.9999717270529693,0.9999505647971921,1.0,0.9999752817876211
featureSelectionKsTest,12,featureReductionPCA,12,KNNClassifier,40455,30284,0,0,1.0,1.0,1.0,1.0
