featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39296,29977,307,1159,0.9792759298265454,0.9922480620155039,0.971350883697936,0.9816882759999
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39338,29941,343,1117,0.9793607486676373,0.9913560646153071,0.9723890742800643,0.9817809723470101
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39337,29941,343,1118,0.979346612194122,0.9913558467741935,0.9723643554566802,0.9817682660510388
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39327,29958,326,1128,0.9794455675087292,0.9917786800494288,0.9721171672228401,0.9818495031707195
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39286,29981,303,1169,0.9791911109854535,0.9923463588370507,0.9711036954640959,0.9816101144370596
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39473,29963,321,982,0.9815801750095421,0.9919334573051214,0.9757261154369052,0.9837630375456392
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39365,29968,316,1090,0.9801241182374645,0.9920364910158515,0.9730564825114325,0.9824548267944494
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39337,29976,308,1118,0.9798413887671581,0.9922310505738429,0.9723643554566802,0.9821972534332085
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39357,30013,271,1098,0.9806471677575312,0.9931614010295751,0.9728587319243605,0.982905235817839
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39333,29995,289,1122,0.9800534358698879,0.9927060723840291,0.9722654801631442,0.9823794597699714
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39314,29988,296,1141,0.9796858875584896,0.9925271396112093,0.9717958225188481,0.9820520826828202
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39260,30018,266,1195,0.979346612194122,0.9932702524920306,0.9704610060561117,0.9817331616258862
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39347,29965,319,1108,0.9798272522936429,0.9919578480310594,0.9726115436905204,0.9821894384743076
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39306,29988,296,1149,0.9795727957703672,0.9925256300186859,0.971598071931776,0.9819503603682377
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39275,30026,258,1180,0.9796717510849744,0.9934738066931424,0.9708317884068718,0.9820223033455018
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39501,29925,359,954,0.981438810274389,0.9909934771700953,0.9764182424916574,0.9836518707588869
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39246,29971,313,1209,0.9784842873096877,0.9920877676382113,0.9701149425287356,0.9809783287924613
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39215,29966,318,1240,0.9779753742631363,0.9919560873194546,0.9693486590038314,0.9805220783117468
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39362,29974,310,1093,0.9801665276580104,0.9921859245815688,0.9729823260412804,0.9824902966540616
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39329,29960,324,1126,0.9795021134027906,0.9918291175951378,0.9721666048696082,0.9818994357617217
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39346,29963,321,1109,0.9797848428730969,0.9919076310283107,0.9725868248671363,0.9821522178677516
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39446,29920,364,1009,0.9805906218634699,0.9908565687013313,0.975058707205537,0.9828941630847816
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39280,29992,292,1175,0.9792617933530302,0.9926210451834631,0.9709553825237919,0.9816686868181989
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39397,29950,334,1058,0.980322028866679,0.9915934660592485,0.9738474848597207,0.9826403611603023
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39375,29977,307,1080,0.9803927112342555,0.992263494783529,0.9733036707452726,0.9826921397107453
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39535,29935,349,920,0.9820608151090628,0.9912496239093371,0.9772586824867137,0.9842044337121448
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39314,29983,301,1141,0.979615205190913,0.9924018679793007,0.9717958225188481,0.9819907580866741
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39342,29978,306,1113,0.9799403440817653,0.9922820823244553,0.9724879495736003,0.9822853076663796
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39318,29990,294,1137,0.9797707063995815,0.9925780066646471,0.9718946978123841,0.9821274682453445
featureSelectionKsTest,16,featureReductionPCA,16,naiveBayesClassifier,39608,29922,362,847,0.9829090035199819,0.9909432074055542,0.9790631565937461,0.9849673608952441
