featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30242,42,0,0.9994062681123567,0.9989628861397141,1.0,0.9994811740290542
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30250,34,0,0.9995193599004792,0.9991602657511917,1.0,0.9995799565131449
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30249,35,0,0.9995052234269639,0.9991355890343294,1.0,0.9995676076348138
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30252,32,0,0.9995476328475099,0.9992096228418998,1.0,0.9996046551851944
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30233,51,0,0.9992790398507189,0.998740927270034,1.0,0.9993700670693296
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30246,38,0,0.999462814006418,0.9990615661966266,1.0,0.999530562830459
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30251,33,0,0.9995334963739946,0.9991849436870184,1.0,0.9995923056966013
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30243,41,0,0.999420404585872,0.9989875543263532,1.0,0.999493520771825
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30249,35,0,0.9995052234269639,0.9991355890343294,1.0,0.9995676076348138
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30243,41,0,0.999420404585872,0.9989875543263532,1.0,0.999493520771825
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30250,34,0,0.9995193599004792,0.9991602657511917,1.0,0.9995799565131449
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30241,43,0,0.9993921316388413,0.9989382191713171,1.0,0.9994688275913184
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30258,26,0,0.9996324516886017,0.9993577233763988,1.0,0.9996787585252546
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30257,27,0,0.9996183152150865,0.9993330369052913,1.0,0.9996664072056044
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30248,36,0,0.9994910869534486,0.9991109135363414,1.0,0.9995552590615966
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30255,29,0,0.9995900422680558,0.9992836676217765,1.0,0.9996417054819061
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30252,32,0,0.9995476328475099,0.9992096228418998,1.0,0.9996046551851944
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30246,38,0,0.999462814006418,0.9990615661966266,1.0,0.999530562830459
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30249,35,0,0.9995052234269639,0.9991355890343294,1.0,0.9995676076348138
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30238,46,0,0.9993497222182954,0.9988642255746771,1.0,0.9994317901082069
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30243,41,0,0.999420404585872,0.9989875543263532,1.0,0.999493520771825
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30257,27,0,0.9996183152150865,0.9993330369052913,1.0,0.9996664072056044
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30251,33,0,0.9995334963739946,0.9991849436870184,1.0,0.9995923056966013
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30251,33,0,0.9995334963739946,0.9991849436870184,1.0,0.9995923056966013
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30257,27,0,0.9996183152150865,0.9993330369052913,1.0,0.9996664072056044
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30248,36,0,0.9994910869534486,0.9991109135363414,1.0,0.9995552590615966
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30252,32,0,0.9995476328475099,0.9992096228418998,1.0,0.9996046551851944
featureSelectionKsTest,50,featureReductionPCA,50,svmClassifier,40455,30247,37,0,0.9994769504799332,0.9990862392571372,1.0,0.9995429107934821
