featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30223,0,61,0.9991376751155656,1.0,0.9984944219567579,0.9992466438601475
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30225,0,59,0.9991659480625963,1.0,0.9985437132842968,0.9992713260630611
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30222,0,62,0.9991235386420504,1.0,0.9984697781178271,0.9992343032159265
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30213,0,71,0.9989963103804125,1.0,0.9982480382964023,0.9991232511329818
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30218,0,66,0.999066992747989,1.0,0.9983712149255941,0.9991849436870184
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30226,0,58,0.9991800845361116,1.0,0.9985683607730852,0.9992836676217765
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30214,0,70,0.9990104468539278,1.0,0.998272671190623,0.9991355890343294
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30222,0,62,0.9991235386420504,1.0,0.9984697781178271,0.9992343032159265
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30220,0,64,0.9990952656950197,1.0,0.9984204940891928,0.9992096228418998
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30215,0,69,0.9990245833274431,1.0,0.9982973053005626,0.9991479272403957
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30229,0,55,0.9992224939566575,1.0,0.9986423105406073,0.9993206941270919
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30215,0,69,0.9990245833274431,1.0,0.9982973053005626,0.9991479272403957
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30220,0,64,0.9990952656950197,1.0,0.9984204940891928,0.9992096228418998
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30210,0,74,0.9989539009598666,1.0,0.9981741469071529,0.9990862392571372
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30230,0,54,0.9992366304301729,1.0,0.998666962897134,0.9993330369052913
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30219,0,65,0.9990811292215044,1.0,0.998395853899309,0.9991972831120717
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30215,0,69,0.9990245833274431,1.0,0.9982973053005626,0.9991479272403957
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30222,0,62,0.9991235386420504,1.0,0.9984697781178271,0.9992343032159265
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30225,0,59,0.9991659480625963,1.0,0.9985437132842968,0.9992713260630611
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30215,0,69,0.9990245833274431,1.0,0.9982973053005626,0.9991479272403957
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30221,0,63,0.999109402168535,1.0,0.9984451354953354,0.9992219628765144
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30214,0,70,0.9990104468539278,1.0,0.998272671190623,0.9991355890343294
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30219,0,65,0.9990811292215044,1.0,0.998395853899309,0.9991972831120717
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30233,0,51,0.9992790398507189,1.0,0.998740927270034,0.9993700670693296
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30215,0,69,0.9990245833274431,1.0,0.9982973053005626,0.9991479272403957
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30215,0,69,0.9990245833274431,1.0,0.9982973053005626,0.9991479272403957
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30227,0,57,0.999194221009627,1.0,0.998593009478673,0.9992960094853459
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30218,0,66,0.999066992747989,1.0,0.9983712149255941,0.9991849436870184
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30228,0,56,0.9992083574831423,1.0,0.9986176594011503,0.9993083516537806
featureSelectionKsTest,50,featureReductionLDA,1,mahalanobisMinimumDistanceClassifier,40455,30209,0,75,0.9989397644863512,1.0,0.9981495188749074,0.9990739025745509
