featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39676,29972,779,312,0.9845771073947893,0.9807440365838586,0.9921976592977894,0.9864376017801425
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39699,29935,756,349,0.9843791967655748,0.9813125695216908,0.9912854574510588,0.9862738034607406
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39708,29958,747,326,0.984831563918065,0.9815350389321468,0.9918569216166259,0.9866689858241499
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39728,29955,727,329,0.9850718839678254,0.982029415399827,0.9917867039468757,0.9868839427662957
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39700,29949,755,335,0.9845912438683047,0.9813372883450747,0.9916323217184964,0.9864579450863461
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39681,29995,774,289,0.9849729286532182,0.9808676307007786,0.9927695771828872,0.9867827168169102
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39693,29975,762,309,0.9848598368650956,0.9811642565813867,0.9922753862306884,0.9866885417055072
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39725,29975,730,309,0.9853122040175858,0.981955258929675,0.9922815606734275,0.9870914037943073
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39734,29984,721,300,0.9855666605408615,0.9821777283401311,0.992506369585852,0.9873150368373318
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39691,29965,764,319,0.9846901991829118,0.9811148189346187,0.9920269932516871,0.9865407319952775
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39714,29965,741,319,0.9850153380737641,0.9816833518724509,0.99203157395149,0.9868303349567638
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39696,29965,759,319,0.9847608815504885,0.9812384130515387,0.992027989503936,0.9866037032434447
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39722,29964,733,320,0.9851142933883713,0.981881102459523,0.9920083911892513,0.9869187671590246
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39723,29948,732,336,0.9849022462856416,0.9819058212829069,0.9916123717516663,0.9867352261718458
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39648,29989,807,295,0.9844216061861208,0.9800519095291064,0.9926144756277696,0.9862931913729197
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39698,29955,757,329,0.9846477897623659,0.9812878506983067,0.9917805481300123,0.9865062995452399
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39675,29950,780,334,0.984251968503937,0.9807193177604746,0.9916518783273763,0.9861552992642673
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39634,29962,821,322,0.9838420107719928,0.9797058460017303,0.9919411352487737,0.9857855268557785
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39669,29966,786,318,0.9843933332390902,0.9805710048201706,0.9920474154100083,0.9862758260610129
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39719,29971,736,313,0.9851708392824327,0.9818069459893709,0.9921812549960032,0.9869668393653633
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39735,29948,720,336,0.9850718839678254,0.982202447163515,0.9916148835816426,0.9868862230832278
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39692,29956,763,328,0.9845771073947893,0.9811395377580027,0.9918040979510245,0.9864429947188568
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39732,29955,723,329,0.9851284298618866,0.982128290693363,0.9917875240258606,0.9869342739331313
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39702,29961,753,323,0.984789154497519,0.9813867259918427,0.9919300437226733,0.9866302186878728
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39715,29967,740,317,0.9850577474943101,0.9817080706958349,0.9920813349320543,0.9868674444320201
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39707,29987,748,297,0.9852273851764939,0.9815103201087628,0.9925757424257574,0.9870120185436061
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39659,29987,796,297,0.9845488344477586,0.9803238165863305,0.9925668235058565,0.9864073323301539
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39707,29951,748,333,0.9847184721299425,0.9815103201087628,0.9916833166833167,0.98657059444686
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39691,29971,764,313,0.9847750180240037,0.9811148189346187,0.9921757824217579,0.9866143004511615
featureSelectionKsTest,12,featureReductionPCA,12,eucludeanMinimumDistanceClassifier,39716,29962,739,322,0.9850012016002488,0.9817327895192189,0.9919576402417704,0.9868187295789695
